2017-09-12 17:27:14 INFO  TC001_verifyloginwithinvalidcredentials:24 - ------------------Starting verifyloginwithinvalidcredentials Test------------ 
2017-09-12 17:27:17 INFO  Homepage:41 - clicked on sign in[[ChromeDriver: chrome on XP (f32c7becb84f1544fbb10c435891ed90)] -> xpath: //*[contains(text(),'Sign in')]]
2017-09-12 17:27:17 INFO  Homepage:44 - entered email address123@gmail.comand object is[[ChromeDriver: chrome on XP (f32c7becb84f1544fbb10c435891ed90)] -> xpath: //*[@id = 'email']]
2017-09-12 17:27:18 INFO  Homepage:47 - entered password12345and object is[[ChromeDriver: chrome on XP (f32c7becb84f1544fbb10c435891ed90)] -> xpath: //*[@id = 'passwd']]
2017-09-12 17:27:19 INFO  Homepage:49 - click on submit button and object is [[ChromeDriver: chrome on XP (f32c7becb84f1544fbb10c435891ed90)] -> xpath: //*[@id = 'SubmitLogin']]
2017-09-12 17:27:19 INFO  Homepage:54 - error message is:-Authentication failed.
2017-09-12 17:27:19 INFO  TC001_verifyloginwithinvalidcredentials:28 - ------------------Finishing verifyloginwithinvalidcredentials Test------------ 
2017-09-12 20:00:34 INFO  TC001_verifyloginwithinvalidcredentials:24 - ------------------Starting verifyloginwithinvalidcredentials Test------------ 
2017-09-12 20:00:36 INFO  Homepage:41 - clicked on sign in[[ChromeDriver: chrome on XP (b71574b5025287c946634e219775177a)] -> xpath: //*[contains(text(),'Sign in')]]
2017-09-12 20:00:37 INFO  Homepage:44 - entered email address123@gmail.comand object is[[ChromeDriver: chrome on XP (b71574b5025287c946634e219775177a)] -> xpath: //*[@id = 'email']]
2017-09-12 20:00:37 INFO  Homepage:47 - entered password12345and object is[[ChromeDriver: chrome on XP (b71574b5025287c946634e219775177a)] -> xpath: //*[@id = 'passwd']]
2017-09-12 20:00:38 INFO  Homepage:49 - click on submit button and object is [[ChromeDriver: chrome on XP (b71574b5025287c946634e219775177a)] -> xpath: //*[@id = 'SubmitLogin']]
2017-09-12 20:00:38 INFO  Homepage:54 - error message is:-Authentication failed.
2017-09-12 20:00:38 INFO  TC001_verifyloginwithinvalidcredentials:28 - ------------------Finishing verifyloginwithinvalidcredentials Test------------ 
2017-09-12 20:34:40 INFO  TC001_verifyloginwithinvalidcredentials:24 - ------------------Starting verifyloginwithinvalidcredentials Test------------ 
2017-09-12 20:34:42 INFO  Homepage:41 - clicked on sign in[[ChromeDriver: chrome on XP (4f9937bd1af0d574e264bca224c3360e)] -> xpath: //*[contains(text(),'Sign in')]]
2017-09-12 20:34:43 INFO  Homepage:44 - entered email address123@gmail.comand object is[[ChromeDriver: chrome on XP (4f9937bd1af0d574e264bca224c3360e)] -> xpath: //*[@id = 'email']]
2017-09-12 20:34:43 INFO  Homepage:47 - entered password12345and object is[[ChromeDriver: chrome on XP (4f9937bd1af0d574e264bca224c3360e)] -> xpath: //*[@id = 'passwd']]
2017-09-12 20:34:45 INFO  Homepage:49 - click on submit button and object is [[ChromeDriver: chrome on XP (4f9937bd1af0d574e264bca224c3360e)] -> xpath: //*[@id = 'SubmitLogin']]
2017-09-12 20:34:45 INFO  Homepage:54 - error message is:-Authentication failed.
2017-09-12 20:34:45 INFO  TC001_verifyloginwithinvalidcredentials:28 - ------------------Finishing verifyloginwithinvalidcredentials Test------------ 
2017-09-13 15:40:07 INFO  TC002_VerifyRegistration:31 - ------------starting user registration-------
2017-09-13 15:42:25 INFO  TC002_VerifyRegistration:32 - ------------starting user registration-------
2017-09-13 15:45:05 INFO  TC002_VerifyRegistration:32 - ------------starting user registration-------
2017-09-13 15:57:22 INFO  TC002_VerifyRegistration:32 - ------------starting user registration-------
2017-09-13 16:15:42 INFO  TC002_VerifyRegistration:33 - ------------starting user registration-------
2017-09-13 16:16:42 INFO  Homepage:90 - in iframeProxy element for: DefaultElementLocator 'By.xpath: //*[@class = 'device-preview__iframe']'
2017-09-13 16:16:45 INFO  Homepage:92 - clicked on signin[[ChromeDriver: chrome on XP (0b0dffdeabaeb4985898e87f67ee57c9)] -> xpath: //*[@id = 'customer_register_link']]
2017-09-13 16:16:45 INFO  Homepage:94 - firstname ismeghaamd object is [[ChromeDriver: chrome on XP (0b0dffdeabaeb4985898e87f67ee57c9)] -> xpath: //*[@id = 'FirstName']]
2017-09-13 16:16:46 INFO  Homepage:97 - lastname isjainamd object is [[ChromeDriver: chrome on XP (0b0dffdeabaeb4985898e87f67ee57c9)] -> xpath: //*[@id = 'LastName']]
2017-09-13 16:16:46 INFO  Homepage:99 - email isautomation@gmail.comamd object is [[ChromeDriver: chrome on XP (0b0dffdeabaeb4985898e87f67ee57c9)] -> xpath: //*[@id = 'Email']]
2017-09-13 16:16:46 INFO  Homepage:101 - firstname is1234amd object is [[ChromeDriver: chrome on XP (0b0dffdeabaeb4985898e87f67ee57c9)] -> xpath: //*[@id = 'CreatePassword']]
2017-09-13 16:16:49 INFO  Homepage:103 - clicked on createacoount[[ChromeDriver: chrome on XP (0b0dffdeabaeb4985898e87f67ee57c9)] -> xpath: //*[@class = 'btn']]
2017-09-13 16:16:49 INFO  TC002_VerifyRegistration:38 - ------------End user registration-------
2017-09-13 16:27:38 INFO  TC002_VerifyRegistration:33 - ------------starting user registration-------
2017-09-13 16:28:38 INFO  Homepage:90 - in iframeProxy element for: DefaultElementLocator 'By.xpath: //*[@class = 'device-preview__iframe']'
2017-09-13 16:28:45 INFO  Homepage:92 - clicked on signin[[ChromeDriver: chrome on XP (5a9d8146223e8ddd92eab6207cef4174)] -> xpath: //*[@id = 'customer_register_link']]
2017-09-13 16:28:45 INFO  Homepage:94 - firstname ismeghaamd object is [[ChromeDriver: chrome on XP (5a9d8146223e8ddd92eab6207cef4174)] -> xpath: //*[@id = 'FirstName']]
2017-09-13 16:28:46 INFO  Homepage:97 - lastname isjainamd object is [[ChromeDriver: chrome on XP (5a9d8146223e8ddd92eab6207cef4174)] -> xpath: //*[@id = 'LastName']]
2017-09-13 16:28:46 INFO  Homepage:99 - email isautomation@gmail.comamd object is [[ChromeDriver: chrome on XP (5a9d8146223e8ddd92eab6207cef4174)] -> xpath: //*[@id = 'Email']]
2017-09-13 16:28:46 INFO  Homepage:101 - firstname is1234amd object is [[ChromeDriver: chrome on XP (5a9d8146223e8ddd92eab6207cef4174)] -> xpath: //*[@id = 'CreatePassword']]
2017-09-13 16:28:49 INFO  Homepage:103 - clicked on createacoount[[ChromeDriver: chrome on XP (5a9d8146223e8ddd92eab6207cef4174)] -> xpath: //*[@class = 'btn']]
2017-09-13 16:28:49 INFO  TC002_VerifyRegistration:38 - ------------End user registration-------
2017-09-13 17:34:10 INFO  TC002_VerifyRegistration:34 - ------------starting user registration-------
2017-09-13 17:35:11 INFO  Homepage:91 - in iframeProxy element for: DefaultElementLocator 'By.xpath: //*[@class = 'device-preview__iframe']'
2017-09-13 17:35:13 INFO  Homepage:93 - clicked on signin[[ChromeDriver: chrome on XP (2daa6654bb2fbcb59239fb343a6fbf79)] -> xpath: //*[@id = 'customer_register_link']]
2017-09-13 17:35:13 INFO  Homepage:95 - firstname ismeghaamd object is [[ChromeDriver: chrome on XP (2daa6654bb2fbcb59239fb343a6fbf79)] -> xpath: //*[@id = 'FirstName']]
2017-09-13 17:35:14 INFO  Homepage:98 - lastname isjainamd object is [[ChromeDriver: chrome on XP (2daa6654bb2fbcb59239fb343a6fbf79)] -> xpath: //*[@id = 'LastName']]
2017-09-13 17:35:14 INFO  Homepage:100 - email isautomation@gmail.comamd object is [[ChromeDriver: chrome on XP (2daa6654bb2fbcb59239fb343a6fbf79)] -> xpath: //*[@id = 'Email']]
2017-09-13 17:35:14 INFO  Homepage:102 - firstname is1234amd object is [[ChromeDriver: chrome on XP (2daa6654bb2fbcb59239fb343a6fbf79)] -> xpath: //*[@id = 'CreatePassword']]
2017-09-13 17:35:17 INFO  Homepage:104 - clicked on createacoount[[ChromeDriver: chrome on XP (2daa6654bb2fbcb59239fb343a6fbf79)] -> xpath: //*[@class = 'btn']]
2017-09-13 17:35:17 INFO  TC002_VerifyRegistration:39 - ------------End user registration-------
2017-09-13 17:40:10 INFO  TC002_VerifyRegistration:34 - ------------starting user registration-------
2017-09-13 17:41:11 INFO  Homepage:91 - in iframeProxy element for: DefaultElementLocator 'By.xpath: //*[@class = 'device-preview__iframe']'
2017-09-13 17:41:14 INFO  Homepage:93 - clicked on signin[[ChromeDriver: chrome on XP (eda9d3efec13e8e84f4f4fdd724fcc43)] -> xpath: //*[@id = 'customer_register_link']]
2017-09-13 17:41:14 INFO  Homepage:95 - firstname ismeghaamd object is [[ChromeDriver: chrome on XP (eda9d3efec13e8e84f4f4fdd724fcc43)] -> xpath: //*[@id = 'FirstName']]
2017-09-13 17:41:14 INFO  Homepage:98 - lastname isjainamd object is [[ChromeDriver: chrome on XP (eda9d3efec13e8e84f4f4fdd724fcc43)] -> xpath: //*[@id = 'LastName']]
2017-09-13 17:41:15 INFO  Homepage:100 - email isautomation@gmail.comamd object is [[ChromeDriver: chrome on XP (eda9d3efec13e8e84f4f4fdd724fcc43)] -> xpath: //*[@id = 'Email']]
2017-09-13 17:41:15 INFO  Homepage:102 - firstname is1234amd object is [[ChromeDriver: chrome on XP (eda9d3efec13e8e84f4f4fdd724fcc43)] -> xpath: //*[@id = 'CreatePassword']]
2017-09-13 17:41:17 INFO  Homepage:104 - clicked on createacoount[[ChromeDriver: chrome on XP (eda9d3efec13e8e84f4f4fdd724fcc43)] -> xpath: //*[@class = 'btn']]
2017-09-13 17:41:17 INFO  TC002_VerifyRegistration:39 - ------------End user registration-------
2017-09-13 18:56:38 INFO  Testbase:24 - ------------Sta Verifyingloginwith different recordes
2017-09-13 18:57:39 INFO  Homepage:134 - in iframeProxy element for: DefaultElementLocator 'By.xpath: //*[@class = 'device-preview__iframe']'
2017-09-13 18:58:47 INFO  Homepage:136 - clickedonloginProxy element for: DefaultElementLocator 'By.xpath: //*[@class = 'device-preview__iframe']'
2017-09-13 18:58:47 INFO  Homepage:138 - customeremail id is automation@gmail.comand objec is[[ChromeDriver: chrome on XP (90baf9af80f00ed661b35415a3fc0bbe)] -> xpath: //*[@id = 'CustomerEmail']]
2017-09-13 18:58:48 INFO  Homepage:140 - customerpassword id is passwordand objec is[[ChromeDriver: chrome on XP (90baf9af80f00ed661b35415a3fc0bbe)] -> xpath: //*[@id = 'CustomerPassword']]
2017-09-13 18:59:52 INFO  Homepage:142 - clickonsigninProxy element for: DefaultElementLocator 'By.xpath: //*[@value = 'Sign In']'
2017-09-13 18:59:52 INFO  Testbase:27 - -----------FInished login with different recorde              
